worker_no,exclude,item1,item2,item3,chosen_item,isrepeat,RT
1,0,telegraph,bumper,canvas,telegraph,0,12260
1,0,punching bag,tarantula,music box,tarantula,0,2450
1,0,telegraph,chariot,rolling pin,chariot,1,1916
1,0,rudder,bumper,washcloth,washcloth,0,2453
1,0,flagpole,bucket,pizza,pizza,0,4671
1,0,navel,chariot,tarantula,navel,0,3344
1,0,washcloth,rolling pin,turban,rolling pin,0,5675
1,0,canvas,laptop,macadamia,macadamia,0,2582
1,0,beaver,jet,canister,canister,0,5744
1,0,headphones,hopscotch,beaver,headphones,0,2737
1,0,washcloth,chariot,trophy,chariot,0,12915
1,0,drain,bucket,laptop,laptop,0,3401
1,0,rudder,candelabra,file,candelabra,0,3302
1,0,drain,table,candelabra,drain,0,3781
1,0,laptop,knob,camera,knob,1,2809
1,0,doormat,furnace,rolling pin,rolling pin,0,4231
1,0,canister,candelabra,toolbox,canister,1,143309
1,0,bench,headphones,punching bag,headphones,0,2622
1,0,metal detector,bucket,tarantula,metal detector,0,1775
1,0,washcloth,knob,bench,bench,0,1748
1,0,tarantula,dice,canvas,canvas,0,3612
1,0,dice,rolling pin,coaster,rolling pin,0,2538
1,0,furnace,trophy,headphones,furnace,1,5322
1,0,plaster cast,rolling pin,rudder,plaster cast,1,1966
1,0,tuba,knob,bowler hat,bowler hat,0,2446
1,0,hopscotch,punching bag,doormat,hopscotch,0,1647
1,0,bumper,drain,bowler hat,drain,0,1833
1,0,navel,bowler hat,mistletoe,mistletoe,0,3356
1,0,pizza,laptop,plaster cast,laptop,0,1437
1,0,mistletoe,rudder,canister,canister,0,60617
1,0,trigger,bookshelf,table,trigger,0,1508
1,0,dice,hammer,plaster cast,dice,0,2043
1,0,mistletoe,tape measure,toolbox,mistletoe,1,1733
1,0,drain,tarantula,bookshelf,tarantula,0,2043
1,0,coaster,canvas,drain,canvas,0,2541
1,0,toolbox,furnace,macadamia,macadamia,0,3617
1,0,washcloth,table,telegraph,washcloth,0,2410
1,0,bumper,clothes,trophy,clothes,0,7695
1,0,trophy,canvas,music box,trophy,0,2834
1,0,bowler hat,laptop,furnace,furnace,0,3153
1,0,flagpole,navel,rudder,navel,0,9105
1,0,coaster,tuba,tarantula,tarantula,1,7878
1,0,file,drain,canister,canister,0,5831
1,0,canvas,mistletoe,punching bag,canvas,0,2453
1,0,canvas,hopscotch,bowler hat,bowler hat,0,3075
1,0,doormat,camera,headphones,doormat,0,6183
1,0,telegraph,trigger,clothes,clothes,0,2821
1,0,hopscotch,bookshelf,jet,hopscotch,0,4049
1,0,toolbox,rudder,drain,drain,0,2320
1,0,trophy,camera,punching bag,camera,0,2835
1,0,navel,music box,jet,navel,0,33909
1,0,canvas,camera,beaver,beaver,0,4656
1,0,hopscotch,drain,camera,camera,0,2554
1,0,file,rolling pin,hammer,rolling pin,0,2453
1,0,table,tarantula,laptop,laptop,1,2001
1,0,trophy,file,hopscotch,file,0,2116
1,0,hammer,trophy,navel,navel,0,3073
1,0,plaster cast,camera,tuba,camera,1,2680
1,0,hammer,doormat,bucket,doormat,1,2850
1,0,bench,macadamia,bumper,macadamia,0,3230
1,0,laptop,navel,bumper,bumper,0,6197
