"worker_no","exclude","trip.1","trip.2","trip.3","choice","isrepeat","RT"
1,0,44,22,29,1,0,12260
1,0,42,4,15,2,0,2450
1,0,44,13,16,2,1,1916
1,0,28,22,9,3,0,2453
1,0,24,48,1,3,0,4671
1,0,37,13,4,1,0,3344
1,0,9,16,23,2,0,5675
1,0,29,46,3,3,0,2582
1,0,2,43,38,3,0,5744
1,0,34,40,2,1,0,2737
1,0,9,13,41,2,0,12915
1,0,10,48,46,3,0,3401
1,0,28,19,35,2,0,3302
1,0,10,20,19,1,0,3781
1,0,46,17,27,2,1,2809
1,0,6,11,16,3,0,4231
1,0,38,19,31,1,1,143309
1,0,36,34,42,2,0,2622
1,0,21,48,4,1,0,1775
1,0,9,17,36,3,0,1748
1,0,4,30,29,3,0,3612
1,0,30,16,14,2,0,2538
1,0,11,41,34,1,1,5322
1,0,25,16,28,1,1,1966
1,0,26,17,33,3,0,2446
1,0,40,42,6,1,0,1647
1,0,22,10,33,2,0,1833
1,0,37,33,8,3,0,3356
1,0,1,46,25,2,0,1437
1,0,8,28,38,3,0,60617
1,0,32,18,20,1,0,1508
1,0,30,7,25,1,0,2043
1,0,8,47,31,1,1,1733
1,0,10,4,18,2,0,2043
1,0,14,29,10,2,0,2541
1,0,31,11,3,3,0,3617
1,0,9,20,44,1,0,2410
1,0,22,5,41,2,0,7695
1,0,41,29,15,1,0,2834
1,0,33,46,11,3,0,3153
1,0,24,37,28,2,0,9105
1,0,14,26,4,3,1,7878
1,0,35,10,38,3,0,5831
1,0,29,8,42,1,0,2453
1,0,29,40,33,3,0,3075
1,0,6,27,34,1,0,6183
1,0,44,32,5,3,0,2821
1,0,40,18,43,1,0,4049
1,0,31,28,10,3,0,2320
1,0,41,27,42,2,0,2835
1,0,37,15,43,1,0,33909
1,0,29,27,2,3,0,4656
1,0,40,10,27,3,0,2554
1,0,35,16,7,2,0,2453
1,0,20,4,46,3,1,2001
1,0,41,35,40,2,0,2116
1,0,7,41,37,3,0,3073
1,0,25,27,26,2,1,2680
1,0,7,6,48,2,1,2850
1,0,36,3,22,2,0,3230
1,0,46,37,22,3,0,6197
1,0,8,46,32,3,0,1533
1,0,37,30,47,3,0,1984
1,0,40,3,14,2,1,1958
1,0,41,38,25,3,0,3415
1,0,6,46,45,3,0,4176
1,0,5,7,36,2,0,2143
1,0,28,7,26,2,0,1974
1,0,45,17,37,2,0,1759
1,0,44,21,6,3,0,2324
1,0,48,44,18,3,1,1805
1,0,43,45,16,1,0,2551
1,0,17,38,13,1,0,3302
1,0,27,9,7,2,0,11579
1,0,20,11,21,2,0,1816
1,0,19,4,43,3,1,2101
1,0,3,16,5,3,0,4054
1,0,38,31,19,2,1,2666
1,0,17,3,1,2,0,2227
1,0,23,14,6,1,0,3923
1,0,18,13,46,2,0,3073
1,0,38,6,4,1,0,2241
1,0,1,8,21,2,0,5414
1,0,13,16,44,1,1,4382
1,0,28,18,13,2,0,3979
1,0,18,45,19,1,0,3146
1,0,6,26,32,1,1,2948
1,0,5,39,26,2,0,37934
